Valeur,Synonymes,
rows,1 rang,2 rangs
60_40,Plateau,
alveole,Alvéolé,
baby_box,Mini colis,
bag,Sac,
box,Colis,
box_lid,Colis cloche,
buckets,Seaux,
bunches,Bottes,
filmed,Filmé,
Flow-pack,Flow-pack,
girsac,Girsac,
green_box,Green Box,
ice,Glace,
layer,Lité,
loose,Vrac,
mesh,Filets,
palox,Palox,
polystyrene,Polystyrène,
punnets,Barquettes,
punnets_cellulose,Barquettes cellulose,
punnets_filmed,Barquettes filmées,
punnets_naked,Barquettes nues,
punnets_wood,Barquettes bois,
sachet,Sachet,